label,Star Rating,Sentences
Galaxy Core,5,"GOOD MOBILE IN THIS RANGE ..
      
      CAMERA IS GOOD. ..
      
      PERFORMANCE IS COOL
      
      STYLE AND DESIGN IS AWESOME
      
      WHEN WE HIGH RESOLUTION GAMES  IT LOOKS LIKE WE ARE PLAYING IN S2
      
      I WOULD RECOMMEND THIS FOR ALL WHO WILL BE STATISHFIED WITH 1 GB RAM"
Galaxy Core,5,"GOOD PRODUCT RECEIVED. WELL PACKED AND SHIPPED. RECEIVED BEFORE SCHEDULE DATE. SUPPLIER IS GENUINE.
      
      SAMSUNG GALAXY CORE IS VALE FOR MONEY. PERFECT SIZE FOR HANDY USE. INTERNAL MEMORY IS SUFFICIENT AND ALSO HAVE EXTERNAL CARD SLOT FOR ENHANCE . BRAND NAME WITH GOOD QUALITY IN BUDGET PRICE ."
Galaxy Core,5,"GOOD SERVICE FROM FLIPKAT AND JUST LOVING THE PHONE..ITS AWESOME..
      
      NICE PRODUCT FROM SAMSUNG AS WELL"
Galaxy Core,5,"GREAT SERVICE BY FLIPKART - GOT DELIVERY IN NICELY PACKED BOX BEFORE PROMISED DATE. (ONE DAY EARLY).
      
      GREAT PRODUCT BY SAMSUNG."
Galaxy Core,5,GREAT VALUE FOR MONEY  . THE PHONE LOOKS GOOD AND HAS ALL BASIC APPLICATIONS . THE CAMERA IS GOOD TOO . I THINK ITS A GOOD BUY FOR THIS PRICE RANGE
Galaxy Core,5,"HAPPY TO HAVE IT.
      
      MY BEST FAVORITE FEATURES
      
      
      SWYPE
      
      BEST PHOTOGRAPHY - AWESOME PORTRAIT
      
      BEST WIFI SYNC AND CONNECTIVITY"
Galaxy Core,5,"HELLO FREINDS
      
      RCENTLY I HAVE PURCAHED CORE IN 12500 FROM FCART....THIS PHONE IS VERY GUD IN THIS BUDGET
      
      PLEASE DONT GO IN MICROMAX OR OTHER CELL PHONE
      
      AND ALSO THIS IS DUAL SIM PHONE,,SO DOUBLE ADVANTAGE
      
      I INSIST TO PURCHASE THIS PHONE IF YOUR BUDGET IS BETWEEN 10000-13000
      
      PLEASE GO FOR IT
      
      
      THANKS"
Galaxy Core,5,"HI,
      
      
      I HAVE ORDERED SAMSUNG GALAXY CORE ON 11TH NOV'13 BY NIGHT WITH THE HELP OF FLIPKART EXECUTIVE AS I MOSTLY PREFERRED CHIC WHITE COLOR. I AM VERY HAPPY ON FLIPKART SERVICE AND THE DELIVERY WAS MADE ON 13TH NOV'13 MORNING... AMAZING !!
      
      
      THANKS FLIP KART TEAM"
Galaxy Core,5,"I AM A FLIPKART BUYER SINCE 1 YEAR. AGAIN, EXCELLENT DELIVERY FROM FLIPKART.
      
      LOW PRICE WHEN COMPARE TO OTHER SELLERS..WONDERFUL PRODUCT WITH NO DAMAGE. EXCELLENT PACKING..OVERALL SATISFIED WITH FLIPKART."
Galaxy Core,5,"I AM USING CORE FOR 1 MONTH AND I CAN TELL U THAT IT IS LAG FREE MOBILE.DUE TO 1 GB RAM AND DUEL CORE PROCESSOR IT CAN BE USED FOR MULTITASKING. 5 MP CAMERA IS AWESOME IT CAN CAPTURE GOOD PHOTOS.IT CAN PLAY COMMON GAMES LIKE TEMPLE RUN,2,FRUIT NINJA WITHOUT ANY ISSUE.IN CASE OF SUBWAY SURFER I FACED A BIT LAG BUT IT WAS PLAYABLE.IT CAN PLAY VIDEOS UPTO 480P. U CAN PLAY 720P VIDEOS WITH HELP OF MX PLAYER IN S/W DECODING,BUT THERE IS LITTLE BIT OF LAG WHILE PLAYING 720P VIDEOS AS THE PROCESSOR DOES NOT SUPPORT HD VIDEOS. 1080P VIDEOS CANNOT BE PLAYED ON THIS MOBILE.SO IF U LIKE TO WATCH HD VIDEOS THEN I RECOMMEND U TO BUY SONY XPERIA M OR SAMSUNG GALAXY S DUOS 2. BATTERY DRAINS VERY QUICKLY DUE TO THE USE OF WIFI OR PLAYING GAMES BUT ITS COMMON IN ALL ANDROID MOBILES.I CAN SAY THAT IT IS GOOD BASIC MOBILE.IF U WANT TO BUY A MOBILE WHICH HAS GOT GOOD INTERNAL MEMORY,RAM AND U DO NOT LIKE TO WATCH HD VIDEOS ON MOBILE THEN THIS IS THE BEST MOBILE.IF U GOT BUDGET OF AROUND 14000 THEN I WOULD RECOMMEND TO GO FOR MOTO G."
Galaxy Core,5,I AM USING FROM LAST 4 MONTHS THIS IS GUD ONE ON THIS PRICE. IF UR BUDGET IS BTWEEN 10000 AND 15000 TAKE IT.
Galaxy Core,5,I AM VERY HAPPY WITH THE FLIPKART SERVICE AS WELL AS WITH THE PRODUCT. GALAXY CORE IS VERY NICE PHONE. IF YOUR BUDGET IS AROUND 10-15 K THEN U CANT GET A BETTER PHONE THAN THIS. ALL THE FEATURES INCLUDING CAMERA AND PICTURE QUALITY IS AWESOME.
Galaxy Core,5,"I BOUGHT THIS PHONE FROM FLIPKART AND GOT BEFORE THE STANDARD DELIVERY.
      
      THIS PHONE IS SIMPLY AWESOME, I AM FACING NO PROBLEM WITH THIS. JUST THE BATTERY IS LITTLE BIT LESS.
      
      AND IT WILL BE MORE GOOD AFTER BUYING POWER BANKS.
      
      
      PROS:
      
      1. DISPLAY IS AMAZING. VIEWING ANGLES ARE VERY GOOD.
      
      2. THERE IS VERY LITTLE LAG IN THE PHONE WHICH IS OBVIOUS.
      
      3. CAMERA QUALITY IS GOOD AT DAYLIGHT AND BETTER THEN MICROMAX CANVAS 4.
      
      4. HEAVY GAMES LIKE ASPHALT 7, VIRTUA TENNIS, NFS MW RUNS SMOOTH.
      
      5. AFTER INSTALLING PLENTLY OF APPS AND GAMES, THIS PHONE HAS 350 MB FREE RAM.
      
      6. SCREEN SIZE IS GOOD RATHER THAN BIG 5 INCHES.
      
      7. CALL QUALITY AND MEDIA QUALITY SOUND IS GOOD.
      
      8. ACCELEROMETER AND COMPASS WORKS WELL.
      
      9. GOOD GESTURES LIKE SMART STAY, SHAKE TO UPDATE ETC.
      
      10. 8 CONTINUOUS SHOT IN BEST PICTURES AND 20 CONTINUOUS SHOTS IN NORMAL QUALITY.
      
      11. MANY OTHER CAMERA FEATURES LIKE SMILE SHOT, CARTOON ETC.
      
      12. FACE UNLOCK ALSO WORKS VERY WELL.
      
      13. DO NOT GO TO MICROMAX, KARBONN, XOLO BECUSE THEY PROVIDE LOW QUALITY SPECS.
      
      
      CONS:
      
      1. CAMERA NOT UP TO MARK IN NIGHT PHOTOS BUT GOOD CONSIDERING PRICE.
      
      2. VGA CAMERA BUT GOOD DURING SKYPE.
      
      3. VOICE INPUT SOMETIMES DO NOT UNDERSTAND WHAT SPOKEN.
      
      4. HOPE TO ANDROID 4.4 KITKAT UPGRADE.
      
      
      JUST GO FOR THIS PHONE IN THIS PRICE. IT IS BETTER THEN XPERIA M, AND MMX, KARBONN, XOLO PHONES."
Galaxy Core,5,"I BUY THESE HANDSET FROM LOCAL MARKET IN PRICE OF 13K. WITH 4.3INCH SCREEN, 1GHZ DUAL CORE PROCESSOR, 1GB OF RAM, 8GB INTERNAL MEMORY(ONLY HALF FOR USER BUT ENOUGH FOR ME), 5 MEGA PIXEL WITH FLASH. ONLY DRAWBACK IS THAT IT'S NOT SUPPORT FULL HD VIDEOS OF 1080P EVEN NOT RECORD 720P &AMP; 1080P BUT 800X400 NOT BAD FOR PHONE LIKE THESE. ITS SUFFICIENT FOR ME TO PLAY THE MOVIE THAT  I DOWNLOAD FROM TORRENT WITHOUT ANY HANG. ITS NOT RECORD 720P VIDEO BUT YOU CAN PLAY 720P VIDEO IN THESE HANDSET WITH MX PLAYER IN S/W MODE WITHOUT ANY LAG.
      
      
      THERE'S A LOTS OF HANDSET IN THESE PRICE RANGE WHERE U CAN GET SOME MORE FEATURES BUT THESE IS BEST FOR ME IN LOOK, PERFORMANCE ETC."
Galaxy Core,5,"I BUYED THIS 2 MONTHS AGO FROM MY NEARBY SHOP.......
      
      IT IS JUST AN AWESOME PHONE ......... IT HAS A GREAT SMOOTH TOUCH...
      
      VALUE FOR MONEY..GREAT CAMERA FEATURES
      
      100 TIMES BETTER THAN ""NOKIA LUMIA""AND ""SONY XPERIA"" MOBILES IN THIS RANGE...
      
      IT IS MUCH BETTER THAN"""""" GRAND QUATTRO"""""""" IN TERMS OF THE PRICE
      
      I REQUEST BUYERS TO NOT THINK ON THIS MOBILE SO MUCH AND JUST BUY IT EITHER FROM FLIPKART OR FROM UR NEARBY SHOP"
Galaxy Core,5,I HAVE BOUGHT THIS PHONE A WEEK AGO. OVER ALL PERFORMANCE IS VERY NICE. WE CAN BUY THIS PHONE. GUI IS FANTASTIC.
Galaxy Core,5,"I HAVE PURCHASED 4 FOR MYSELF AND MY FAMILY MEMBER.
      
      VERY NICE PRODUCT. VERY GOOD SPEED.
      
      ATTRACTIVE  LOOK
      
      CAMERA QUALITY IS OK,
      
      FEATURES LIKE ALL ANDROID PHONE.
      
      RAM IS SUFFICIENT FOR GAMING AND NET USING
      
      VIDEO CALL - OK
      
      NO HANG PROBLEM.
      
      
      ALL APPS WILL INSTALLED IN PHONE MEMORY AND THERE IS NO OPTION FOR "" MOVE TO CARD"".
      
      BATTERY BACK UP IS AS LIKE OTHER PHONE , IN 3G LESS BACKUP COMPARISON TO 2G CONNECTION."
Galaxy Core,5,"I JUST LOVE THIS PHONE WITH SO MANY APPS AND FEATURES .
      
      THE TOUCH, SOUND AND CAMERA CLARITY IS MERVALLOUS"
Galaxy Core,5,I PURCHASED THIS MOBILE RECENTLY FOR MY FRD. ITS ROCKING AND THANKS TO FLIPKART SPEED DELIVERY (WITHIN 2DAYS).
Galaxy Core,5,I SATISFIED WITH THIS FEATURES.BUT LITTLE BIT SLOW WHEN I AM USING THIS PHONE IN MINOR SITUATIONS.MOBILE EXPERIENCE IS GOOD.
Galaxy Core,5,"I THINK THIS IS A VERY GOOD PHONE AND I AM REALLY HAPPY WITH THE PERFORMANCE.
      
      
      I WILL SUGGEST TO GO FOR THIS PHONE. THIS IS VALUE FOR MONEY."
Galaxy Core,5,"I WAITED A FEW WEEKS BEFORE WRITING A REVIEW SO THAT I COULD GIVE A PROPER OPINION. FIRST OFF, IT IS REASONABLY SLIM, SLIGHTLY ON THE HEAVIER SIDE (BUT THEN, ITS A DUAL SIM PHONE, SO ITS EXPECTED). THE SCREEN IS BRIGHT AND CLEAR, THE PHONE IS VERY FAST AND THE BATTERY LIFE IS MUCH BETTER THAN EXPECTED - LASTING ME AN ENTIRE DAY OF MODERATE TO HIGH USAGE WITH 3G TURNED ON. THE CAMERA IS NOT SO GREAT, BUT I DON'T USE IT ALL THAT MUCH. ONE THING TO KNOW BEFORE YOU BUY IS THAT THE PHONE USES MICRO-SIM CARDS. SO YOU'LL HAVE TO GET THE SIM-CARDS CUT DOWN TO SIZE."
Galaxy Core,5,"I WANTED A PHONE WHICH WOULD BE FAST ENOUGH TO SUPPORT BROWSING AND WORKING ON FILE PLUS LISTENING TO MUSIC AND CHAT, ALL IN PARALLEL, WOULD FIT IN POCKET COMFORTABLY, HAD AN OK SCREEN SIZE A GOOD CAM. AND THIS ONE HAS IT ALL.
      
      
      WOULD HIGHLY RECOMMEND IT."
Galaxy Core,5,"I WAS BOTHERED A BIT BY THE BATTERY ISSUE.
      
      
      BUT AFTER USING IT FOR ABOUT 2 MONTHS NOW I FOUND BATTERY STAND IS BETTER THAN S2 EVEN.
      
      
      ITS SIMPLY SUPERB AT 11,500 BUCKS. WITH AN APP GRAVITY SENSOR, USING THE MOBILE GIVES A FEEL LIKE S4.
      
      
      DISPLAY, SMOOTHNESS IN PERFORMANCE, CAMERA, SMART ALERT, JELLY BEAN,.... STILL MORE FEATURES MAKE IT A SMART CHOICE.
      
      
      TO END UP, I TRIED ALL MOBILE BRANDS IN THIS RANGE. THIS STOOD UP UNIQUE AMONG THEM."
Galaxy Core,5,"I WAS USING A BB BOLD 9780 BEFORE SO I'MUSED TO FAST NET BROWSING AND FAST CHATTING.
      
      WELL TYPING IN A TOUCH SCREEN CAN BE A NUISANCE BUT WITH ADVANCE SOFTWARES THESE DAYS THE PHONES KNOW WHAT YOU WILL WRITE IN ONE MONTH AND PROMPTS YOU.SO VERY HAPPY WITH THAT.
      
      
      PERFORMANCE : DON'T EXPECT IT TO RUN HIGH END GAMES.THOUGH IT DOES RUN LOTS OF GAMES QUITE EFFICIENTLY.IM NOT MUCH OF A HEAVY GAMER. SO DOESN'T MATTER FOR ME.NO LAGS SO FAR.
      
      MAKE SURE YOU HAVE UTILITY APPS ON YOUR PHONE , CLEARING THE CACHE FROM TIME TO TIME AND FREEING YOUR RAM AS OFTEN AS POSSIBLE AND PROPERLY CLOSE YOUR APPS.IF YOU DO THOSE YOUR PHONE WIL BE A BREEZE TO BROWSE.
      
      
      NET BROWSING: FAST VERY FAST. DEPENDS ON YOUR CONNECTION THOUGH.IM VERY SATISFIED.
      
      
      BATTERY: GOOD ID SAY.AGAIN USE APPS AND SHUT DOWN ALL BACKGROUND APPS THAT DRAIN YOUR BATTERY.
      
      
      MEMORY: 4.7 OUT OF 8 GB INTERNAL AVAILABLE. GOOD ENOUGH UNLESS YOU ARE A HEAVY MUSIC LISTENER OR A GAME BUFF. U CAN ALWAYS EXTEND.
      
      
      CALL QUALITY: GREAT, BUT USING A BIG PHONE FOR LONG HOURS CAN BE CUMBERSOME,THANKS TO THE EFFICIENT HEADPHONES.TALKING WAS NEVER EASIER. NO NOISE CANCELLATION THOUGH.
      
      
      SCREEN: 4.3INCHES IS BIG ENOUGH FOR A GUY. ANY BIGGER AND WONT FIT IN MY JEANS.SO THI SI THE IDEAL SIZE.GREAT RESOLUTION.DECENT PPI DISTRIBUTION.720P VIDEO COMPATIBLE.
      
      
      CAMERA: DECENT CAMERA.NOT SLOW AS MANY REVIEWS SAY.I MEAN HELL ITS A PHONE NOT A DSLR.SO YEAH EFFICIENT ENOUGH.PICTURE QUALITY NICE!
      
      
      OVERALL ITS A GOOD PHONE. GO FOR IT IF YOU DON'T HAVE MUCH TO SPEND.I REMEMBER I BOUGHT A SAMSUNG PHONE BACK IN 2010 , IT WAS A TOUCH SCREEN MOBILE PHONE AS WELL.COST ME 10K BACK THEN AND PRACTICALLY HAD NOTHING.SAMSUNG HAS COME A LONG WAY. WELL DONE.
      
      
      ONLY CON SO FAR: PHONE HEATS UP SLIGHTLY ON HEAVY USAGE,SOMETIMES IM PALYING A GAME WHILE RUNNING BACK GROUD APPS PLUS DOWNLOADS THIS PHONE GETS HEATED UP. BUT OTHERWISE THE HEATING IS OK.YOU WONT NOTICE IN   FEW DAYS.IT NATURAL TO HEAT UP.GIVEN THE THIN FRAME IT HAS WITH A DUAL CORE RUNNING INSIDE! ALSO YOU HAVE TO MANUALLY ADJUST THE SCREEN BRIGHTNESS AS AND WHEN REQUIRED.SOMETHING MY PREVIOUS PHONE JUST DID ON ITS OWN."
Galaxy Core,5,"I WERE USING THIS FOR A PAST 1 MONTH AND ITS JUST AWESOME.
      
      
      DISPLAY: DECENT PERFORMANCE
      
      
      NO LAGS NO HANGS.
      
      
      HEAD PHONES WHICH IS IN PACK IS DAM WASTE.
      
      
      SOUND CLARITY NOT GOOD..... BUT THAT'S OK FOR ME..."
Galaxy Core,5,IF YOU ARE LOOKING FOR GOOD CONFIGURATION WITH LESS PRICE THEN I SUGGEST YOU T GO FOR THIS. IT HAS 1.2 GHZ DUAL CORE PROCESSOR AND 1 GB RAM WHICH MAKE IT MORE USABLE. NORMALLY ALL THE ANDRIOD PHONES VERY SLOW SO RATHER THAN SPENDING 20 OR 30K ITS BETTER TO GO FOR GALAXY CORE. I GOT THIS FOR JUST 11.5K AFTER 10% CASH BACK HSBC BANK.
Galaxy Core,5,"I'M USING THIS PHONE FOR A MONTH AT LEAST AND WORTH A PIECE OF MONEY.HAVE TESTED WITH LOT OF APP AND THIS ONE IS BINGO...
      
      WHEN USED SAFE AND ANY DEVICE IS WORTHY..
      
      THE DELIVERY SYSTEM WAS INSTANT,WE JUST ORDERED IN THE EVENING GOT THAT DELIVERED THE NEXT DAY AFTERNOON.
      
      THEN FEW DAYS LATER ORDER   FLIP COVER AND MEM CARD WHICH IS VERY MUCH SATIFACTORY AND THE DELIVERY WAS AS USUAL AMAZING.."
Galaxy Core,5,"IT IS A V.V.V GOD PHONE.THE NET IS VERY FAST AND 3G . I LIKE THIS PHONE
      
      SERVICE CENTERSAND FOR THOSE WHO DOESNT KNOW, THIS IS DUAL ACTIVE PHONE. NOT JUST DUAL STAND BY. OF SAMSUNG IS THE BEST.SO I REQUEST THOSE PANDITS DONT GIVE YOUR FALTU REVIEW. GO HOME N BYE HTC OR OTHER BRAND AND EXPERIENCE DIFFERENCE WHEN WILL GO TO SELL YOUR MOBILE AFTER 1-2 YRS.
      
      1.4 INCH DISPLAY
      
      2.ANDROID 4.0(ICS)
      
      3.DUAL SIM
      
      4.1 GHZ PROCESSOR.
      
      5.4 GB INTERNAL STORAGE.
      
      6.512 MB RAM
      
      7.GOOD LOOKS COPIED FROM S3.
      
      8. 5 MP CAMERA WITH FLASH
      
      9. 0.3 MP FRONT FACING CAMERA
      
      10. MICRO SD SLOT ON THE LEFT(OUTSIDE)
      
      IT LACK IN CERTAIN THINGS LIKE.
      
      1.SINGLE CORE PROCESSOR.
      
      2.NO HD RECORDING.
      
      3.NO HD VIDEO PLAYBACK."
Galaxy Core,5,"IT WAS A AWESOME PHONE FROM SAMSUNG IN RESPECT TO ITS PRICE AND FEATURES SAMSUNG HAS LAUNCHED ITS ONE OF THE FABULOUS SET GALAXY CORE
      
      
      I HIGHLY APPRECIATE THIS PHONE"
Galaxy Core,5,"ITS A GOOD MOBILE WITH ALMOST ALL FEATURES.MOREOVER KEEPING IN VIEW THE PRICE,ITS THE MUST AWAITED MOBILE.DON'T MISS IT."
Galaxy Core,5,"ITS A NICE PHONE WITH SOME ADVANCED FEATURES LIKE SMART STAY,SMART ALERT, AND TURN OVER TO MUTE/PAUSE. ALSO ALMOST ALL HIGH END GAMES WORKS FINE AND YOU CAN ENJOY THEM. MULTI- TASKING IS JUST GREAT AND THERE IS NO LAG IN SWITCHING BETWEEN APPS. BROWSING EXPERIENCE IS GOOD AND SPEAKER VOLUME IS A LITTLE LOW AS COMPARED TO OTHER SAMSUNG PHONES LIKE GRAND, ETC. BATTERY PERFORMANCE IS NOT GOOD. USING THIS PHONE WITH TWO SIM CARDS WITH ACTIVE DATA PACK CAUSES DRAINAGE OF BATTERY IN JUST 1-1.5 HOURS MAX. REST ALL FEATURES ARE GOOD."
Galaxy Core,5,"ITS A VERY GOOD PHONE FROM SAMSUNG IN MID RANGE WITH 4.3 INCH SCREEN. IT IS A IDLE PHONE FOR THOSE WHO ARE NOT INTERESTED IN LARGER 5 INCH SCREEN, PROCESSOR IS ALSO FAST ENOUGH TO HANDLE HEAVY GAMES AND VIDEOS. BOTH SIDE CAMERA IS GIVEN WITH FLASH."
Galaxy Core,5,"ITS AN EXCELLENT MID RANGE SMART PHONE.
      
      HERE ARE THE PROS AND CONS:
      
      
      PROS:
      
      1. VERY SLEEK
      
      2. FITS PERFECTLY IN HAND.
      
      3. CALL QUALITY AND MUSIC PLAYBACK IS GOOD.
      
      4. AWESOME BRIGHT DISPLAY. PICS AND VIDEOS COME OUT BEAUTIFULLY.
      
      5. DISPLAY CLARITY IS GOOD
      
      
      CONS:
      
      1. CAMERA IS OK.
      
      2. HEADPHONES COULD HAVE BEEN BETTER AS THE PROVIDED ARE BASIC"
Galaxy Core,5,"ITS AN LOVELY PRODUCT OF SAMSUNG, I BOUGHT ON FLIPKART ON SEPTEMBER ITS AN SMOOTH HANDSET ITS WORKING SMOOTHLY BUT ONLY THING IS THAT MY KNOWLEDGE IN THIS PRICE ANOTHER BRANDS HAVE A QUADCORE PROCESSER."
Galaxy Core,5,"ITS AWESOME, SOME REVIEW SAYS IT WILL STUCK AND NOT WORK PROPERLY BUT I DO NOT HAVE ANY PROBLEM. SOME PEOPLES MAKE NEGETIVE COMMENT"
Galaxy Core,5,"ITS ITHE BEST PHONE BUT NEED A UPDATE OF 4.3 VERY SOON AND WILL ROCK YOU ALL !!!! FLIPKART IS SELLING IT ON A LOW RATE OTHERWISE IT IS 14 THOUSAND IS ITS MARKET PRICE AND IS HAVING VERY COOL FEATURES :D AND I LIKE IT TO MUCH BUT I DID NOT BUYES IT FROM FLIPKART I BUYED IT FROM SAMSUNG E STORE BECOUSE IT GIVES YOU ADDITINAL BENIFITS COMPARED TO FLIPKART , FLIPKART  JUST GIVES YOU THE SAME PHONE IN LESS RRATE BUT OTHER ADDITIONAL FEATURES AE NILL I AM NOT GIVING STARS TO FLIPKART BUT ONLY THE PHONE"
